participant,is_introvert,msg,blinks_count,blinks_total_duration,blinks_avg_duration,blinks_median_duration,center_fixations_count,center_fixations_duration,center_fixations_avg_duration,center_fixations_median_duration,total_duration,center_fixations_percentage,blinks_percentage,A Score
5,1,1,9,1078.0,119.77777777777776,110.0,14,14062.0,1004.4285714285714,654.0,20000.0,74.31561145756262,5.390000000000001,24.0
5,1,2,13,3860.0,296.9230769230769,128.0,133,44638.0,335.62406015037595,8.0,70496.0,66.98781439462152,5.4754879709487065,24.0
7,1,1,10,954.0,95.4,96.0,13,18934.0,1456.4615384615386,712.0,20000.0,99.41195001575134,4.77,21.0
7,1,2,28,3380.0,120.71428571428572,92.0,30,54208.0,1806.9333333333327,1320.0,57728.0,99.74240082431736,5.855044345898004,21.0
14,1,1,42,29352.0,698.8571428571429,96.0,117,49592.0,423.8632478632479,72.0,92742.0,78.23315980438555,31.649091026719283,missing
14,1,2,16,17308.0,1081.75,96.0,47,7980.0,169.7872340425532,22.0,50870.0,23.77689053095763,34.02398270100255,missing
16,1,1,40,20530.0,513.25,192.0,73,8178.0,112.02739726027396,6.0,67592.0,17.37707704729931,30.37341697242277,18.0
16,1,2,26,4264.0,164.0,142.0,173,19176.0,110.84393063583816,6.0,71750.0,28.41478232522301,5.942857142857143,18.0
17,1,1,56,3730.0,66.60714285714286,64.0,132,56752.0,429.93939393939394,360.0,81520.0,72.95539272400052,4.575564278704612,20.0
17,1,2,31,3008.0,97.03225806451611,90.0,76,61932.0,814.8947368421053,104.0,68766.0,94.18169652361688,4.374254718901783,20.0
19,1,1,59,10326.0,175.01694915254237,98.0,150,32060.0,213.7333333333333,36.0,85230.0,42.80145252589982,12.115452305526222,20.0
19,1,2,24,2106.0,87.75,90.0,102,60716.0,595.2549019607843,30.0,73414.0,85.14612666180513,2.8686626528999914,20.0
20,1,1,39,4590.0,117.6923076923077,56.0,135,21754.0,161.14074074074074,32.0,77200.0,29.960060597713813,5.94559585492228,17.0
20,1,2,54,3068.0,56.81481481481482,48.0,108,44430.0,411.3888888888889,314.0,68262.0,68.15044329232751,4.494447862646861,17.0
21,1,1,13,1398.0,107.53846153846152,90.0,198,45216.0,228.3636363636364,44.0,106950.0,42.83765347885403,1.3071528751753154,19.0
21,1,2,3,102.0,34.0,32.0,90,30170.0,335.22222222222223,88.0,64454.0,46.88276976628544,0.1582523970583672,19.0
26,1,1,72,7592.0,105.44444444444444,64.0,147,52138.0,354.68027210884355,162.0,75746.0,76.50027878040908,10.022971510046736,24.0
26,1,2,36,2682.0,74.5,72.0,61,66856.0,1096.0,562.0,71780.0,96.75533300529683,3.7364168292003344,24.0
28,1,1,163,14694.0,90.14723926380368,78.0,166,60732.0,365.855421686747,334.0,86416.0,84.67694710130783,17.003795593408626,8.0
28,1,2,92,8150.0,88.58695652173913,88.0,118,59770.0,506.5254237288136,428.0,74380.0,90.24611203382152,10.957246571659049,8.0
29,1,1,32,3760.0,117.5,126.0,80,22134.0,276.675,108.0,76398.0,30.47165395523004,4.921594806146758,11.0
29,1,2,12,1622.0,135.16666666666666,140.0,46,56250.0,1222.8260869565215,830.0,70820.0,81.2884765455649,2.2903134707709687,11.0
32,1,1,98,11248.0,114.77551020408164,100.0,158,81670.0,516.8987341772151,478.0,102516.0,89.48371828022965,10.97194584260018,21.0
32,1,2,50,6482.0,129.64,116.0,78,60148.0,771.1282051282051,742.0,75382.0,87.29753265602322,8.598869756705845,21.0
33,1,1,68,20302.0,298.55882352941177,114.0,134,44602.0,332.85074626865674,128.0,88980.0,64.94365007717174,22.816363227691618,19.0
33,1,2,69,35528.0,514.8985507246376,62.0,79,35352.0,447.493670886076,36.0,75640.0,88.1332269644994,46.96985721840296,19.0
34,1,1,23,2852.0,124.0,54.0,109,53348.0,489.4311926605504,322.0,107706.0,50.87836420165181,2.6479490464783764,17.0
34,1,2,29,2058.0,70.96551724137932,58.0,94,50886.0,541.3404255319149,340.0,66668.0,78.75870608264974,3.086938261234775,17.0
16,1,1,51,24538.0,481.1372549019608,160.0,30,10586.0,352.8666666666667,344.0,97466.0,14.51568670469504,25.1759587958878,18.0
16,1,2,55,11098.0,201.78181818181807,168.0,110,60000.0,545.4545454545455,314.0,102468.0,65.66706796541536,10.830698364367413,18.0
31,1,1,70,48636.0,694.8,120.0,95,18166.0,191.2210526315789,24.0,122426.0,24.61851199349505,39.72685540653129,19.0
31,1,2,60,9728.0,162.13333333333333,126.0,78,2732.0,35.02564102564103,2.0,70844.0,4.470187839518293,13.731579244537292,19.0
1,0,1,33,3696.0,112.0,84.0,53,12732.0,240.2264150943396,118.0,20000.0,78.09126594700687,18.48,missing
1,0,2,82,8710.0,106.21951219512196,84.0,90,72720.0,808.0,850.0,83166.0,97.66842161813688,10.473029843926604,missing
10,0,1,11,3298.0,299.8181818181818,74.0,18,10784.0,599.1111111111111,556.0,20000.0,64.56711771045384,16.49,missing
10,0,2,1,662.0,662.0,662.0,2,1284.0,642.0,676.0,2504.0,69.70684039087948,26.437699680511184,missing
11,0,1,11,9088.0,826.1818181818181,126.0,20,1198.0,59.9,8.0,20000.0,10.978739002932551,45.440000000000005,missing
11,0,2,12,16412.0,1367.6666666666667,70.0,36,246.0,6.833333333333333,6.0,55054.0,0.6366130117488743,29.810731282014025,missing
2,0,1,4,560.0,140.0,156.0,15,18358.0,1223.8666666666666,568.0,20000.0,94.43415637860082,2.8000000000000003,16.0
2,0,2,16,2060.0,128.75,128.0,17,77028.0,4531.058823529412,4918.0,79230.0,99.81599066994946,2.600025242963524,16.0
3,0,1,13,872.0,67.07692307692308,64.0,17,16694.0,982.0,1074.0,20000.0,87.27519866164785,4.36,18.0
3,0,2,46,5286.0,114.91304347826087,104.0,47,63274.0,1346.2553191489362,1246.0,68782.0,99.65037167695604,7.68515018464133,18.0
4,0,1,10,966.0,96.6,102.0,16,18488.0,1155.5,1208.0,20000.0,97.131448986025,4.83,7.0
4,0,2,14,1634.0,116.71428571428572,126.0,48,62990.0,1312.2916666666667,458.0,70028.0,92.09872211012662,2.33335237333638,7.0
6,0,1,8,2292.0,286.5,356.0,21,13810.0,657.6190476190476,248.0,20000.0,77.98735035012425,11.46,17.0
6,0,2,5,816.0,163.2,128.0,12,62324.0,5193.666666666667,6320.0,64726.0,97.5183852292286,1.2606989463275964,17.0
8,0,1,2,514.0,257.0,392.0,22,15550.0,706.8181818181819,282.0,20000.0,79.80088268500461,2.5700000000000003,missing
8,0,2,11,1346.0,122.36363636363636,122.0,35,50820.0,1452.0,808.0,57030.0,91.2649953307952,2.360161318604244,missing
15,0,1,55,6414.0,116.61818181818182,82.0,146,72376.0,495.7260273972603,26.0,89638.0,86.96529847159474,7.155447466476271,9.0
15,0,2,31,4800.0,154.83870967741936,86.0,35,48426.0,1383.6,876.0,55404.0,95.69599241166706,8.663634394628547,9.0
22,0,1,73,6976.0,95.56164383561644,92.0,203,31382.0,154.59113300492612,22.0,60732.0,58.37859959818439,11.486530988605676,13.0
22,0,2,58,6500.0,112.06896551724138,110.0,129,61602.0,477.5348837209302,226.0,78838.0,85.15856119881666,8.244755067353307,13.0
23,0,1,64,5052.0,78.9375,66.0,123,41582.0,338.0650406504065,168.0,66444.0,67.73195204586916,7.60339534043706,15.0
23,0,2,43,2778.0,64.6046511627907,64.0,177,45338.0,256.14689265536725,48.0,74712.0,63.02721939555704,3.7182781882428526,15.0
24,0,1,22,10458.0,475.3636363636364,220.0,37,8166.0,220.7027027027027,26.0,31022.0,39.710173118070415,33.71155953839211,21.0
24,0,2,81,14414.0,177.9506172839506,130.0,230,66094.0,287.3652173913043,24.0,187564.0,38.171527577245165,7.684843573393615,21.0
25,0,1,25,4070.0,162.8,76.0,115,24766.0,215.35652173913044,28.0,91454.0,28.34157282797766,4.450324753427952,13.0
25,0,2,5,376.0,75.2,74.0,50,51506.0,1030.12,744.0,71526.0,72.39072382290934,0.5256829684310601,13.0
27,0,1,20,2358.0,117.9,118.0,34,38394.0,1129.235294117647,448.0,52082.0,77.21422250824551,4.527475903383127,16.0
27,0,2,14,1838.0,131.28571428571428,138.0,25,58292.0,2331.68,1680.0,67296.0,89.05252222799352,2.731217308606752,16.0
30,0,1,67,12018.0,179.37313432835822,114.0,49,16962.0,346.16326530612247,300.0,63660.0,32.845358429185545,18.87841658812441,11.0
30,0,2,76,20880.0,274.7368421052632,140.0,68,38306.0,563.3235294117648,534.0,67654.0,81.89592508658656,30.86292015254087,11.0
