participant,is_introvert,blinks_count_1,blinks_count_2,blinks_percentage_1,blinks_percentage_2,center_fixations_count_1,center_fixations_count_2,center_fixations_percentage_1,center_fixations_percentage_2,A Score
1,0,33.0,82.0,18.48,10.473029843926604,53.0,90.0,78.09126594700687,97.66842161813688,missing
2,0,4.0,16.0,2.8000000000000003,2.600025242963524,15.0,17.0,94.43415637860082,99.81599066994946,16.0
3,0,13.0,46.0,4.36,7.68515018464133,17.0,47.0,87.27519866164785,99.65037167695604,18.0
4,0,10.0,14.0,4.83,2.33335237333638,16.0,48.0,97.131448986025,92.09872211012662,7.0
5,1,9.0,13.0,5.390000000000001,5.4754879709487065,14.0,133.0,74.31561145756262,66.98781439462152,24.0
6,0,8.0,5.0,11.46,1.2606989463275964,21.0,12.0,77.98735035012425,97.5183852292286,17.0
7,1,10.0,28.0,4.77,5.855044345898004,13.0,30.0,99.41195001575134,99.74240082431736,21.0
8,0,2.0,11.0,2.5700000000000003,2.360161318604244,22.0,35.0,79.80088268500461,91.2649953307952,missing
10,0,11.0,1.0,16.49,26.437699680511184,18.0,2.0,64.56711771045384,69.70684039087948,missing
11,0,11.0,12.0,45.440000000000005,29.810731282014025,20.0,36.0,10.978739002932551,0.6366130117488743,missing
14,1,42.0,16.0,31.649091026719283,34.02398270100255,117.0,47.0,78.23315980438555,23.77689053095763,missing
15,0,55.0,31.0,7.155447466476271,8.663634394628547,146.0,35.0,86.96529847159474,95.69599241166706,9.0
16,1,45.5,40.5,27.774687884155284,8.386777753612279,51.5,141.5,15.946381875997176,47.04092514531918,18.0
17,1,56.0,31.0,4.575564278704612,4.374254718901783,132.0,76.0,72.95539272400052,94.18169652361688,20.0
19,1,59.0,24.0,12.115452305526222,2.8686626528999914,150.0,102.0,42.80145252589982,85.14612666180513,20.0
20,1,39.0,54.0,5.94559585492228,4.494447862646861,135.0,108.0,29.960060597713813,68.15044329232751,17.0
21,1,13.0,3.0,1.3071528751753154,0.1582523970583672,198.0,90.0,42.83765347885403,46.88276976628544,19.0
22,0,73.0,58.0,11.486530988605676,8.244755067353307,203.0,129.0,58.37859959818439,85.15856119881666,13.0
23,0,64.0,43.0,7.60339534043706,3.7182781882428526,123.0,177.0,67.73195204586916,63.02721939555704,15.0
24,0,22.0,81.0,33.71155953839211,7.684843573393615,37.0,230.0,39.710173118070415,38.171527577245165,21.0
25,0,25.0,5.0,4.450324753427952,0.5256829684310601,115.0,50.0,28.34157282797766,72.39072382290934,13.0
26,1,72.0,36.0,10.022971510046736,3.7364168292003344,147.0,61.0,76.50027878040908,96.75533300529683,24.0
27,0,20.0,14.0,4.527475903383127,2.731217308606752,34.0,25.0,77.21422250824551,89.05252222799352,16.0
28,1,163.0,92.0,17.003795593408626,10.957246571659049,166.0,118.0,84.67694710130783,90.24611203382152,8.0
29,1,32.0,12.0,4.921594806146758,2.2903134707709687,80.0,46.0,30.47165395523004,81.2884765455649,11.0
30,0,67.0,76.0,18.87841658812441,30.86292015254087,49.0,68.0,32.845358429185545,81.89592508658656,11.0
31,1,70.0,60.0,39.72685540653129,13.731579244537292,95.0,78.0,24.61851199349505,4.470187839518293,19.0
32,1,98.0,50.0,10.97194584260018,8.598869756705845,158.0,78.0,89.48371828022965,87.29753265602322,21.0
33,1,68.0,69.0,22.816363227691618,46.96985721840296,134.0,79.0,64.94365007717174,88.1332269644994,19.0
34,1,23.0,29.0,2.6479490464783764,3.086938261234775,109.0,94.0,50.87836420165181,78.75870608264974,17.0
